ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
5_303_3081_4_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Diesel,km,kg CO2e,0.15356
5_303_3081_4_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Diesel,km,kg CO2e of CO2 per unit,0.15191
5_303_3081_4_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Diesel,km,kg CO2e of CH4 per unit,0.000005
5_303_3081_4_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Diesel,km,kg CO2e of N2O per unit,0.00165
5_303_3082_4_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Petrol,km,kg CO2e,0.20071
5_303_3082_4_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Petrol,km,kg CO2e of CO2 per unit,0.20000
5_303_3082_4_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Petrol,km,kg CO2e of CH4 per unit,0.00027
5_303_3082_4_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Petrol,km,kg CO2e of N2O per unit,0.00044
5_303_3083_4_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,CNG,km,kg CO2e,
5_303_3083_4_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,CNG,km,kg CO2e of CO2 per unit,
5_303_3083_4_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,CNG,km,kg CO2e of CH4 per unit,
5_303_3083_4_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,CNG,km,kg CO2e of N2O per unit,
5_303_3084_4_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,LPG,km,kg CO2e,
5_303_3084_4_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,LPG,km,kg CO2e of CO2 per unit,
5_303_3084_4_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,LPG,km,kg CO2e of CH4 per unit,
5_303_3084_4_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,LPG,km,kg CO2e of N2O per unit,
5_303_3085_4_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Unknown,km,kg CO2e,
5_303_3085_4_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Unknown,km,kg CO2e of CO2 per unit,
5_303_3085_4_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Unknown,km,kg CO2e of CH4 per unit,
5_303_3085_4_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Unknown,km,kg CO2e of N2O per unit,
5_303_3086_4_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e,
5_303_3086_4_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,
5_303_3086_4_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,
5_303_3086_4_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,
5_303_3087_4_1,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,km,kg CO2e,0.00000
5_303_3087_4_2,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00000
5_303_3087_4_3,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00000
5_303_3087_4_4,Scope 1,Delivery vehicles,Vans,Class I (up to 1.305 tonnes),,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00000
