ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
20_500_5168_15_1,Scope 3,Waste disposal,Construction,Aggregates,,Re-use,tonnes,kg CO2e,
20_500_5169_15_1,Scope 3,Waste disposal,Construction,Aggregates,,Open-loop,tonnes,kg CO2e,0.98485
20_500_5170_15_1,Scope 3,Waste disposal,Construction,Aggregates,,Closed-loop,tonnes,kg CO2e,0.98485
20_500_5171_15_1,Scope 3,Waste disposal,Construction,Aggregates,,Combustion,tonnes,kg CO2e,
20_500_5172_15_1,Scope 3,Waste disposal,Construction,Aggregates,,Composting,tonnes,kg CO2e,
20_500_5173_15_1,Scope 3,Waste disposal,Construction,Aggregates,,Landfill,tonnes,kg CO2e,1.23393
20_500_5174_15_1,Scope 3,Waste disposal,Construction,Aggregates,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5175_15_1,Scope 3,Waste disposal,Construction,Average construction,,Re-use,tonnes,kg CO2e,
20_500_5176_15_1,Scope 3,Waste disposal,Construction,Average construction,,Open-loop,tonnes,kg CO2e,0.98485
20_500_5177_15_1,Scope 3,Waste disposal,Construction,Average construction,,Closed-loop,tonnes,kg CO2e,0.98485
20_500_5178_15_1,Scope 3,Waste disposal,Construction,Average construction,,Combustion,tonnes,kg CO2e,6.41061
20_500_5179_15_1,Scope 3,Waste disposal,Construction,Average construction,,Composting,tonnes,kg CO2e,
20_500_5180_15_1,Scope 3,Waste disposal,Construction,Average construction,,Landfill,tonnes,kg CO2e,
20_500_5181_15_1,Scope 3,Waste disposal,Construction,Average construction,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5182_15_1,Scope 3,Waste disposal,Construction,Asbestos,,Re-use,tonnes,kg CO2e,
20_500_5183_15_1,Scope 3,Waste disposal,Construction,Asbestos,,Open-loop,tonnes,kg CO2e,
20_500_5184_15_1,Scope 3,Waste disposal,Construction,Asbestos,,Closed-loop,tonnes,kg CO2e,
20_500_5185_15_1,Scope 3,Waste disposal,Construction,Asbestos,,Combustion,tonnes,kg CO2e,
20_500_5186_15_1,Scope 3,Waste disposal,Construction,Asbestos,,Composting,tonnes,kg CO2e,
20_500_5187_15_1,Scope 3,Waste disposal,Construction,Asbestos,,Landfill,tonnes,kg CO2e,5.91325
20_500_5188_15_1,Scope 3,Waste disposal,Construction,Asbestos,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5189_15_1,Scope 3,Waste disposal,Construction,Asphalt,,Re-use,tonnes,kg CO2e,
20_500_5190_15_1,Scope 3,Waste disposal,Construction,Asphalt,,Open-loop,tonnes,kg CO2e,0.98485
20_500_5191_15_1,Scope 3,Waste disposal,Construction,Asphalt,,Closed-loop,tonnes,kg CO2e,0.98485
20_500_5192_15_1,Scope 3,Waste disposal,Construction,Asphalt,,Combustion,tonnes,kg CO2e,
20_500_5193_15_1,Scope 3,Waste disposal,Construction,Asphalt,,Composting,tonnes,kg CO2e,
20_500_5194_15_1,Scope 3,Waste disposal,Construction,Asphalt,,Landfill,tonnes,kg CO2e,1.23393
20_500_5195_15_1,Scope 3,Waste disposal,Construction,Asphalt,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5196_15_1,Scope 3,Waste disposal,Construction,Bricks,,Re-use,tonnes,kg CO2e,
20_500_5197_15_1,Scope 3,Waste disposal,Construction,Bricks,,Open-loop,tonnes,kg CO2e,0.98485
20_500_5198_15_1,Scope 3,Waste disposal,Construction,Bricks,,Closed-loop,tonnes,kg CO2e,
20_500_5199_15_1,Scope 3,Waste disposal,Construction,Bricks,,Combustion,tonnes,kg CO2e,
20_500_5200_15_1,Scope 3,Waste disposal,Construction,Bricks,,Composting,tonnes,kg CO2e,
20_500_5201_15_1,Scope 3,Waste disposal,Construction,Bricks,,Landfill,tonnes,kg CO2e,1.23393
20_500_5202_15_1,Scope 3,Waste disposal,Construction,Bricks,,Anaerobic digestion,tonnes,kg CO2e,
20_500_5203_15_1,Scope 3,Waste disposal,Construction,Concrete,,Re-use,tonnes,kg CO2e,
20_500_5204_15_1,Scope 3,Waste disposal,Construction,Concrete,,Open-loop,tonnes,kg CO2e,0.98485
20_500_5205_15_1,Scope 3,Waste disposal,Construction,Concrete,,Closed-loop,tonnes,kg CO2e,0.98485
20_500_5206_15_1,Scope 3,Waste disposal,Construction,Concrete,,Combustion,tonnes,kg CO2e,
20_500_5207_15_1,Scope 3,Waste disposal,Construction,Concrete,,Composting,tonnes,kg CO2e,
20_500_5208_15_1,Scope 3,Waste disposal,Construction,Concrete,,Landfill,tonnes,kg CO2e,1.23393
